WikiId,First name,Last name,Street count
Melchior_Wańkowicz,Melchior,Wańkowicz,53
Stanisław_Żółkiewski,Stanisław,Żółkiewski,53
Franciszek_Kleeberg,Franciszek,Kleeberg,52
Helena_Modrzejewska,Helena,Modrzejewska,51
Marian_Langiewicz,Marian,Langiewicz,51
Julian_Fałat,Julian,Fałat,51
Królowej_Bony,Królowej,Bony,50
Kazimierz_Przerwa-Tetmajer,Kazimierz,Przerwa-Tetmajer,49
Eugeniusz_Kwiatkowski,Eugeniusz,Kwiatkowski,48
Feliks_Nowowiejski,Feliks,Nowowiejski,48
Stefan_Grot-Rowecki,Stefan,Grot-Rowecki,47
Wojciech_Bogusławski,Wojciech,Bogusławski,46
Bolesław_Limanowski,Bolesław,Limanowski,46
Marcin_Kasprzak,Marcin,Kasprzak,45
Karol_Kurpiński,Karol,Kurpiński,44
Tadeusz_Boy-Żeleński,Tadeusz,Boy-Żeleński,44
Jan_Dąbrowski,Jan Henryk,Dąbrowski,44
Józef_Lompy,Józef,Lompy,43
Stefan_Jaracz,Stefan,Jaracz,43
3-go_Maj,3-go,Maj,43
Ignacy_Mościcki,Ignacy,Mościcki,42
Augustyn_Kordecki,Augustyn,Kordecki,42
Michał_Kajka,Michał,Kajka,42
Leonid_Teligi,Leonid,Teligi,41
Oskar_Kolberg,Oskar,Kolberg,40
Piotr_Wysocki,Piotr,Wysocki,40
Witold_Gombrowicz,Witold,Gombrowicz,39
Michał_Wołodyjowski,Michał,Wołodyjowski,39
Tadeusz_Kutrzeba,Tadeusz,Kutrzeba,39
Bronisław_Czech,Bronisław,Czech,38
Stanisław_Małachowski,Stanisław,Małachowski,37
Władysław_Grabski,Władysław,Grabski,37
Jan_Chodkiewicz,Jan Karol,Chodkiewicz,37
Berek_Joselewicz,Berek,Joselewicz,36
Adolf_Dygasiński,Adolf,Dygasiński,36
Stefania_Sempołowska,Stefania,Sempołowska,36
Jan_Zamoyski,Jan,Zamoyski,35
Aleksander_Puszkin,Aleksander,Puszkin,35
Jan_Kiepura,Jan,Kiepura,35
Walerian_Łukasiński,Walerian,Łukasiński,35
Witold_Lutosławski,Witold,Lutosławski,35
Maria_Rodziewiczówna,Maria,Rodziewiczówna,35
Henryk_Siemiradzki,Henryk,Siemiradzki,35
Ignacy_Prądzyński,Ignacy,Prądzyński,35
Brata_Albert,Brata,Albert,34
Andrzej_Kmicic,Andrzej,Kmicic,34
Jan_Skrzetuski,Jan,Skrzetuski,34
Józef_Chłopicki,Józef,Chłopicki,34
Stefan_Starzyński,Stefan,Starzyński,33
Piotr_Michałowski,Piotr,Michałowski,32
Jurij_Gagarin,Jurij,Gagarin,32
Anna_Jagiellonka,Anna,Jagiellonka,31
Jan_Heweliusz,Jan,Heweliusz,31
Jan_Twardowski,Jan,Twardowski,31
Czesław_Niemen,Czesław,Niemen,31
Norbert_Barlicki,Norbert,Barlicki,30
Wincenty_Kadłubek,Wincenty,Kadłubek,30
Ludwik_Mierosławski,Ludwik,Mierosławski,30
Aleksander_Gierymski,Aleksander,Gierymski,30
Ignacy_Kraszewski,Ignacy,Kraszewski,30
Stanisław_Brzóska,Stanisław,Brzóska,29
Jakub_Jasiński,Jakub,Jasiński,29
Paweł_Stalmach,Paweł,Stalmach,29
Józef_Dwernicki,Józef,Dwernicki,28
Stanisław_Przybyszewski,Stanisław,Przybyszewski,28
Karol_Marcinkowski,Karol,Marcinkowski,27
Florian_Ceynowa,Florian,Ceynowa,27
Władysław_Syrokomla,Władysław,Syrokomla,27
Królowej_Marysieńka,Królowej,Marysieńka,27
Hieronim_Derdowski,Hieronim,Derdowski,27
Ludomir_Różycki,Ludomir,Różycki,26
Ignacy_Skorupka,Ignacy,Skorupka,26
Edward_Dembowski,Edward,Dembowski,26
Henryk_Jordan,Henryk,Jordan,26
Piotr_Wawrzyniak,Piotr,Wawrzyniak,26
Juliusz_Ligoni,Juliusz,Ligoni,26
Tytus_Chałubiński,Tytus,Chałubiński,25
Karol_Olszewski,Karol,Olszewski,25
Janina_Porazińska,Janina,Porazińska,25
Stanisław_Witkiewicz,Stanisław,Witkiewicz,25
Marszałka_Piłsudski,Marszałka,Piłsudski,25
Kornel_Ujejski,Kornel,Ujejski,24
Xawery_Dunikowski,Xawery,Dunikowski,24
Onufry_Zagłoba,Onufry,Zagłoba,24
Julian_Przyboś,Julian,Przyboś,24
Pola_Gojawiczyńska,Pola,Gojawiczyńska,24
Michał_Ogiński,Michał Kleofas,Ogiński,23
Jan_Styka,Jan,Styka,23
Jerzy_Kukuczka,Jerzy,Kukuczka,23
Stefan_Kisielewski,Stefan,Kisielewski,23
Helena_Marusarzówna,Helena,Marusarzówna,23
Bronisław_Malinowski,Bronisław,Malinowski,23
Kazimierz_Sosnkowski,Kazimierz,Sosnkowski,23
Lucjan_Rydl,Lucjan,Rydl,23
Stanisław_Dąbk,Stanisław,Dąbk,22
Księcia_Witold,Księcia,Witold,22
Ksawery_Dunikowski,Ksawery,Dunikowski,22
Mieczysław_Niedziałkowski,Mieczysław,Niedziałkowski,22
Józef_Elsner,Józef,Elsner,22
Stanisław_Dubois,Stanisław,Dubois,22
Stefan_Banach,Stefan,Banach,22
Zygmunt_Noskowski,Zygmunt,Noskowski,21
Maurycy_Mochnacki,Maurycy,Mochnacki,21
Stanisław_Skarżyński,Stanisław,Skarżyński,21
Papieża_Jana Pawła II,Papieża,Jana Pawła II,21
Stanisław_Skalski,Stanisław,Skalski,21
Agnieszka_Osiecka,Agnieszka,Osiecka,21
Arki_Bożk,Arki,Bożk,21
Kazimierz_Tetmajer,Kazimierz,Tetmajer,20
Józef_Sułkowski,Józef,Sułkowski,20
Eugeniusz_Romer,Eugeniusz,Romer,20
Tadeusz_Sygietyński,Tadeusz,Sygietyński,20
Maksymilian_Kolbe,Maksymilian,Kolbe,20
Cyprian_Norwid,Cyprian,Norwid,20
Karol_Wojtyła,Karol,Wojtyła,20
Konstanty_Damrot,Konstanty,Damrot,20
Jan_Karski,Jan,Karski,20
Aleksander_Majkowski,Aleksander,Majkowski,20
Irena_Sendlerowej,Irena,Sendlerowej,20
Konstanty_Ciołkowski,Konstanty,Ciołkowski,19
Olga_Boznańska,Olga,Boznańska,19
Ignacy_Domeyko,Ignacy,Domeyko,19
Tomasz_Zan,Tomasz,Zan,19
Franciszek_Żwirko,Franciszek,Żwirko,19
Grażyna_Bacewicz,Grażyna,Bacewicz,19
Grzegorz_Piramowicz,Grzegorz,Piramowicz,19
Jan_Śniadeckich,Jan i Jędrzej,Śniadeckich,19
Tadeusz_Czacki,Tadeusz,Czacki,19
Andrzej_Frycza Modrzewski,Andrzej,Frycza Modrzewski,19
Stanisław_Kostka,Stanisław,Kostka,18
Romuald_Mielczarski,Romuald,Mielczarski,18
Jack_Kaczmarski,Jack,Kaczmarski,18
Maksymilian_Kolbe,Maksymilian,Kolbe,18
Józef_Mirecki,Józef,Mirecki,18
Tadeusz_Bór-Komorowski,Tadeusz,Bór-Komorowski,18
Piotr_Czajkowski,Piotr,Czajkowski,18
Tadeusz_Makowski,Tadeusz,Makowski,18
11-go_Listopad,11-go,Listopad,18
Kazimierz_Górski,Kazimierz,Górski,18
Władysław_Raginis,Władysław,Raginis,18
Antoni_Abraham,Antoni,Abraham,18
Ryszard_Kaczorowski,Ryszard,Kaczorowski,18
Tadeusz_Mazowiecki,Tadeusz,Mazowiecki,18
