person,personLabel,occupationLabel
http://www.wikidata.org/entity/Q471647,Józef Elsner,nauczyciel muzyki
http://www.wikidata.org/entity/Q471723,Maciej Kazimierz Sarbiewski,pisarz
http://www.wikidata.org/entity/Q471723,Maciej Kazimierz Sarbiewski,poeta
http://www.wikidata.org/entity/Q471723,Maciej Kazimierz Sarbiewski,nauczyciel akademicki
http://www.wikidata.org/entity/Q471723,Maciej Kazimierz Sarbiewski,literaturoznawca
http://www.wikidata.org/entity/Q473139,Kazimierz Przerwa-Tetmajer,pisarz
http://www.wikidata.org/entity/Q473139,Kazimierz Przerwa-Tetmajer,poeta
http://www.wikidata.org/entity/Q473139,Kazimierz Przerwa-Tetmajer,dziennikarz
http://www.wikidata.org/entity/Q508646,Andrzej Zawada,alpinista
http://www.wikidata.org/entity/Q508891,Mieczysław Karłowicz,fotograf
http://www.wikidata.org/entity/Q508891,Mieczysław Karłowicz,kompozytor
http://www.wikidata.org/entity/Q508891,Mieczysław Karłowicz,dyrygent
http://www.wikidata.org/entity/Q508891,Mieczysław Karłowicz,dziennikarz
http://www.wikidata.org/entity/Q508990,Jan Brzechwa,scenarzysta
http://www.wikidata.org/entity/Q46123,Tomasz Pajzderski,architekt
http://www.wikidata.org/entity/Q55789,Jan Twardowski,poeta
http://www.wikidata.org/entity/Q55789,Jan Twardowski,ksiądz katolicki
http://www.wikidata.org/entity/Q55835,Ryszard Kaczorowski,polityk
http://www.wikidata.org/entity/Q55835,Ryszard Kaczorowski,mąż stanu
http://www.wikidata.org/entity/Q86122,Szymon Bogumił Zug,architekt
http://www.wikidata.org/entity/Q86122,Szymon Bogumił Zug,ogrodnik
http://www.wikidata.org/entity/Q89612,Karol Wedel,cukiernik
http://www.wikidata.org/entity/Q91948,Ludwik Adolf Neugebauer,ginekolog
http://www.wikidata.org/entity/Q108746,Gustaw Adolf Sennewald,wydawca
http://www.wikidata.org/entity/Q112134,Wilhelm Henryk Minter,architekt
http://www.wikidata.org/entity/Q120868,Michael Gröll,pisarz
http://www.wikidata.org/entity/Q120868,Michael Gröll,wydawca
http://www.wikidata.org/entity/Q120874,Georg Gottlieb Pusch,geolog
http://www.wikidata.org/entity/Q120874,Georg Gottlieb Pusch,nauczyciel akademicki
http://www.wikidata.org/entity/Q120874,Georg Gottlieb Pusch,paleontolog
http://www.wikidata.org/entity/Q125036,Karol August Freyer,kompozytor
http://www.wikidata.org/entity/Q125036,Karol August Freyer,organista
http://www.wikidata.org/entity/Q129858,Zdzisław Król,kapłan
http://www.wikidata.org/entity/Q245349,Zygmunt Kuźwa,teolog
http://www.wikidata.org/entity/Q245396,Zygmunt Vogel,malarz
http://www.wikidata.org/entity/Q274277,Małgorzata Braunek,aktor
http://www.wikidata.org/entity/Q274277,Małgorzata Braunek,obrońca praw człowieka
http://www.wikidata.org/entity/Q274277,Małgorzata Braunek,aktor teatralny
http://www.wikidata.org/entity/Q274277,Małgorzata Braunek,aktor filmowy
http://www.wikidata.org/entity/Q350241,Adam Kuczma,teolog
http://www.wikidata.org/entity/Q350639,Adam Pilch,oficer
http://www.wikidata.org/entity/Q350948,Edward Kłosiński,scenarzysta
http://www.wikidata.org/entity/Q350948,Edward Kłosiński,operator filmowy
http://www.wikidata.org/entity/Q350948,Edward Kłosiński,operator kamery
http://www.wikidata.org/entity/Q512202,Stanisław Jankowski,architekt
http://www.wikidata.org/entity/Q512202,Stanisław Jankowski,członek personelu wojskowego
http://www.wikidata.org/entity/Q528765,Stefan Nowak,nauczyciel akademicki
http://www.wikidata.org/entity/Q528765,Stefan Nowak,socjolog
http://www.wikidata.org/entity/Q663033,Krzysztof Skubiszewski,sędzia
http://www.wikidata.org/entity/Q663033,Krzysztof Skubiszewski,polityk
http://www.wikidata.org/entity/Q663033,Krzysztof Skubiszewski,dyplomata
http://www.wikidata.org/entity/Q693328,Ludwik Krzywicki,ekonomista
http://www.wikidata.org/entity/Q693328,Ludwik Krzywicki,tłumacz
http://www.wikidata.org/entity/Q693328,Ludwik Krzywicki,socjolog
http://www.wikidata.org/entity/Q693328,Ludwik Krzywicki,archeolog
http://www.wikidata.org/entity/Q762796,August Loth,teolog
http://www.wikidata.org/entity/Q881236,Juliusz Bursche,kapłan
http://www.wikidata.org/entity/Q881236,Juliusz Bursche,teolog
http://www.wikidata.org/entity/Q1178534,Dawid Flamm,ginekolog
http://www.wikidata.org/entity/Q1292763,Edward Jürgens,
http://www.wikidata.org/entity/Q1349910,Samuel Linde,pisarz
http://www.wikidata.org/entity/Q1349910,Samuel Linde,bibliotekarz
http://www.wikidata.org/entity/Q1349910,Samuel Linde,tłumacz
http://www.wikidata.org/entity/Q1349910,Samuel Linde,pedagog
http://www.wikidata.org/entity/Q1349910,Samuel Linde,nauczyciel akademicki
http://www.wikidata.org/entity/Q1349910,Samuel Linde,krytyk literacki
http://www.wikidata.org/entity/Q1349910,Samuel Linde,językoznawca
http://www.wikidata.org/entity/Q1349910,Samuel Linde,leksykograf
http://www.wikidata.org/entity/Q1364258,Wojciech Gerson,malarz
http://www.wikidata.org/entity/Q1364258,Wojciech Gerson,historyk sztuki
http://www.wikidata.org/entity/Q1431915,Jan Chrystian Kamsetzer,architekt
http://www.wikidata.org/entity/Q1440022,Woldemar Gastpary,teolog
http://www.wikidata.org/entity/Q1440022,Woldemar Gastpary,nauczyciel akademicki
http://www.wikidata.org/entity/Q1440022,Woldemar Gastpary,historyk Kościoła
http://www.wikidata.org/entity/Q1442376,Franciszek Ludwik Neugebauer,ginekolog
http://www.wikidata.org/entity/Q1676996,Leopold Otto,Pastor
http://www.wikidata.org/entity/Q1681783,Jan Heurich,architekt
http://www.wikidata.org/entity/Q1681881,Jakub Gay,architekt
