person,personLabel,occupationLabel
http://www.wikidata.org/entity/Q1349910,Samuel Linde,leksykograf
http://www.wikidata.org/entity/Q1364258,Wojciech Gerson,malarz
http://www.wikidata.org/entity/Q1364258,Wojciech Gerson,historyk sztuki
http://www.wikidata.org/entity/Q1431915,Jan Chrystian Kamsetzer,architekt
http://www.wikidata.org/entity/Q1440022,Woldemar Gastpary,teolog
http://www.wikidata.org/entity/Q1440022,Woldemar Gastpary,nauczyciel akademicki
http://www.wikidata.org/entity/Q1440022,Woldemar Gastpary,historyk Kościoła
http://www.wikidata.org/entity/Q1442376,Franciszek Ludwik Neugebauer,ginekolog
http://www.wikidata.org/entity/Q1676996,Leopold Otto,Pastor
http://www.wikidata.org/entity/Q1681783,Jan Heurich,architekt
http://www.wikidata.org/entity/Q1681881,Jakub Gay,architekt
http://www.wikidata.org/entity/Q1681919,Jan Kacper Heurich,architekt
http://www.wikidata.org/entity/Q1682174,Jan Rosen,malarz
http://www.wikidata.org/entity/Q1692977,Jan Chrystian Szuch,architekt
http://www.wikidata.org/entity/Q1692977,Jan Chrystian Szuch,ogrodnik
http://www.wikidata.org/entity/Q1712759,Juliusz Kolberg,tłumacz
http://www.wikidata.org/entity/Q1712759,Juliusz Kolberg,nauczyciel akademicki
http://www.wikidata.org/entity/Q1712759,Juliusz Kolberg,kartograf
http://www.wikidata.org/entity/Q1712759,Juliusz Kolberg,geodeta
http://www.wikidata.org/entity/Q1874522,Ludwik Spiess,farmaceuta
http://www.wikidata.org/entity/Q2089967,Gabriela Kownacka,aktor
http://www.wikidata.org/entity/Q2089967,Gabriela Kownacka,aktor filmowy
http://www.wikidata.org/entity/Q2331380,Stanisław Lorentz,polityk
http://www.wikidata.org/entity/Q2331380,Stanisław Lorentz,historyk
http://www.wikidata.org/entity/Q2331380,Stanisław Lorentz,nauczyciel akademicki
http://www.wikidata.org/entity/Q2331380,Stanisław Lorentz,historyk sztuki
http://www.wikidata.org/entity/Q2417424,Teodor Bursche,architekt
http://www.wikidata.org/entity/Q2569644,Wiesław Wernic,pisarz
http://www.wikidata.org/entity/Q2569644,Wiesław Wernic,autor
http://www.wikidata.org/entity/Q2569644,Wiesław Wernic,dziennikarz
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,scenarzysta
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,pisarz
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,adwokat
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,poeta
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,tłumacz
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,esperantysta
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,poeta i prawnik
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,dziennikarz
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,krytyk literacki
http://www.wikidata.org/entity/Q4109573,Q4109573,oficer
http://www.wikidata.org/entity/Q4191523,Romuald Zerych,rzeźbiarz
http://www.wikidata.org/entity/Q4299363,Barbara Modelska,aktor
http://www.wikidata.org/entity/Q4398629,Stanisław Rotwand,bankier
http://www.wikidata.org/entity/Q4703421,Jan Wincenty Bandtkie,historyk
http://www.wikidata.org/entity/Q5891798,Hanna Czeczott,geograf
http://www.wikidata.org/entity/Q5891798,Hanna Czeczott,botanik
http://www.wikidata.org/entity/Q6068819,Irena Krzywicka,pisarz
http://www.wikidata.org/entity/Q6068819,Irena Krzywicka,działacz praw kobiet
http://www.wikidata.org/entity/Q6205825,Joanna Flatau,psychiatra
http://www.wikidata.org/entity/Q6373084,Karol Wolfram,teolog
http://www.wikidata.org/entity/Q6439779,Krystian Godfryd Deybel de Hammerau,
http://www.wikidata.org/entity/Q6586295,Karol Benda,aktor
http://www.wikidata.org/entity/Q6835895,Michalina Wisłocka,ginekolog
http://www.wikidata.org/entity/Q6835895,Michalina Wisłocka,seksuolog
http://www.wikidata.org/entity/Q7385414,Ryszard Reiff,polityk
http://www.wikidata.org/entity/Q11736036,Karol Fryderyk Minter,malarz
http://www.wikidata.org/entity/Q11736057,Karol Gröll,nadworny malarz
http://www.wikidata.org/entity/Q11736057,Karol Gröll,malarz
http://www.wikidata.org/entity/Q11736071,Karol Henryk Martens,biznesmen
http://www.wikidata.org/entity/Q11736101,Karol Juliusz Minter,fabrykant
http://www.wikidata.org/entity/Q11736129,Karol Kotula,teolog
http://www.wikidata.org/entity/Q11736176,Karol Machlejd,Piwowar
http://www.wikidata.org/entity/Q11736251,Karol Plage,
http://www.wikidata.org/entity/Q11736275,Karol Rojek,inżynier mechanik
http://www.wikidata.org/entity/Q11736342,Karol Wajs,inżynier
http://www.wikidata.org/entity/Q11736347,Karol Wilhelm Stackebrandt,lekarz
http://www.wikidata.org/entity/Q11736938,Katarzyna Daab,
http://www.wikidata.org/entity/Q11742883,Konstanty Bogumił Malcz,adwokat
http://www.wikidata.org/entity/Q11742970,Konstanty Schiele,biznesmen
http://www.wikidata.org/entity/Q11748814,Krystyna Łyczkowska,tłumacz
http://www.wikidata.org/entity/Q11753501,Lech Ludwik Madaliński,aktor
http://www.wikidata.org/entity/Q11754400,Leon Strasburger,rolnik
http://www.wikidata.org/entity/Q11754610,Leopold August Leo,okulista
http://www.wikidata.org/entity/Q11754956,Leszek Gałysz,reżyser filmowy
http://www.wikidata.org/entity/Q11754956,Leszek Gałysz,reżyser
http://www.wikidata.org/entity/Q11763731,Ludwik Evert,wydawca
http://www.wikidata.org/entity/Q11763736,Ludwik Fiszer (prawnik),
http://www.wikidata.org/entity/Q11763768,Ludwik Halpert,bankier
http://www.wikidata.org/entity/Q11763789,Ludwik Jenike,tłumacz
http://www.wikidata.org/entity/Q11763846,Ludwik Mauersberger,lekarz
http://www.wikidata.org/entity/Q11763992,Ludwik Zajdler,astronom
http://www.wikidata.org/entity/Q11768207,Marek Karewicz,
http://www.wikidata.org/entity/Q11768290,Marek Leykam,architekt
http://www.wikidata.org/entity/Q11768706,Maria Arndt,lekkoatleta
http://www.wikidata.org/entity/Q11771776,Maurycy Karstens,
http://www.wikidata.org/entity/Q11779272,Michał Szubert,język polski
http://www.wikidata.org/entity/Q11779272,Michał Szubert,botanik
http://www.wikidata.org/entity/Q11779701,Mieczysław Daab,oficer
http://www.wikidata.org/entity/Q11779888,Mieczysław Milecki,aktor
http://www.wikidata.org/entity/Q11779931,Mieczysław Piprek,architekt
http://www.wikidata.org/entity/Q11814358,Paweł Puczek,skrzypek
http://www.wikidata.org/entity/Q11814393,Paweł Schroeter,lekarz
http://www.wikidata.org/entity/Q11817583,Piotr Jerzy Bansemer,adwokat
http://www.wikidata.org/entity/Q11817583,Piotr Jerzy Bansemer,Asesor
http://www.wikidata.org/entity/Q11817731,Piotr Königsfels,
http://www.wikidata.org/entity/Q13531799,Edward Strasburger,ekonomista
http://www.wikidata.org/entity/Q14918021,Oskar Flatt,dziennikarz
http://www.wikidata.org/entity/Q15846337,Danuta Halladin,reżyser filmowy
http://www.wikidata.org/entity/Q16323896,Stanisław Ficowski,ekonomista
http://www.wikidata.org/entity/Q16334834,Blanka Kutyłowska,aktor
http://www.wikidata.org/entity/Q16335375,Janusz Messing,inżynier
http://www.wikidata.org/entity/Q16335375,Janusz Messing,rolnik
http://www.wikidata.org/entity/Q16530327,Artur Otton Spitzbarth,architekt
http://www.wikidata.org/entity/Q16533688,Bronisław Syzdek,historyk
http://www.wikidata.org/entity/Q16546422,Fryderyk Osterloff,entomolog
http://www.wikidata.org/entity/Q16557544,Henryk Wilhelm Rossmann,członek personelu wojskowego
http://www.wikidata.org/entity/Q16561961,Janina Mierzecka,fotograf
http://www.wikidata.org/entity/Q16569747,Krzysztof Fryderyk Brun,kupiec
http://www.wikidata.org/entity/Q16582599,Nora Krusze,ekonomista
http://www.wikidata.org/entity/Q16588128,Piotr Kaltenberg,ekonomista
http://www.wikidata.org/entity/Q16592220,Przemysław Trojan,entomolog
http://www.wikidata.org/entity/Q16592220,Przemysław Trojan,ekolog
http://www.wikidata.org/entity/Q16619582,Zbigniew Michejda,inżynier
http://www.wikidata.org/entity/Q16619582,Zbigniew Michejda,bibliotekarz
http://www.wikidata.org/entity/Q16619582,Zbigniew Michejda,nauczyciel akademicki
http://www.wikidata.org/entity/Q17362310,Maria Patzer,
http://www.wikidata.org/entity/Q17648616,Adolf Suess,
http://www.wikidata.org/entity/Q18067638,Tadeusz Maria Rudkowski,historyk sztuki
http://www.wikidata.org/entity/Q18192738,Maria Drewniakówna,piosenkarz
http://www.wikidata.org/entity/Q18225220,Karol Daniel Adelstein,biznesmen
http://www.wikidata.org/entity/Q18380279,Marian Fuks,fotograf
http://www.wikidata.org/entity/Q18380279,Marian Fuks,fotoreporter
http://www.wikidata.org/entity/Q18421937,Anna Białowolska,Q16335312
http://www.wikidata.org/entity/Q19268025,Irena Kamieńska,reżyser filmowy
http://www.wikidata.org/entity/Q19268025,Irena Kamieńska,reżyser
http://www.wikidata.org/entity/Q19690584,Zygmunt Wulfson,fizjolog
http://www.wikidata.org/entity/Q19754393,Franciszek Dudziński,oficer
http://www.wikidata.org/entity/Q19907798,Q19907798,
http://www.wikidata.org/entity/Q19947100,Edward Stenz,geofizyk
http://www.wikidata.org/entity/Q20028832,Paweł Foerster,
http://www.wikidata.org/entity/Q20028916,Emil Gerlach,fabrykant
http://www.wikidata.org/entity/Q20031086,Tadeusz Wojak,proboszcz
http://www.wikidata.org/entity/Q20031086,Tadeusz Wojak,teolog
http://www.wikidata.org/entity/Q20503454,Bronisław Rydzewski,geolog
http://www.wikidata.org/entity/Q20566136,Tadeusz Possart,
http://www.wikidata.org/entity/Q20640165,Ludmiła Hausbrandt,botanik
http://www.wikidata.org/entity/Q20640168,Henryk Fryderyk Hoyer,lekarz
http://www.wikidata.org/entity/Q20900676,Jerzy Rokossowski,
http://www.wikidata.org/entity/Q21288117,Władysław Ludwik Evert,poeta
