cemetery,cemeteryLabel,adm_location,adm_locationLabel,location
http://www.wikidata.org/entity/Q8511943,Cmentarz Jeżycki w Poznaniu,http://www.wikidata.org/entity/Q268,Poznań,Point(16.879419 52.416011)
http://www.wikidata.org/entity/Q8511943,Cmentarz Jeżycki w Poznaniu,http://www.wikidata.org/entity/Q268,Poznań,Point(16.8797 52.4164)
http://www.wikidata.org/entity/Q8511943,Cmentarz Jeżycki w Poznaniu,http://www.wikidata.org/entity/Q11727135,Jeżyce,Point(16.879419 52.416011)
http://www.wikidata.org/entity/Q8511943,Cmentarz Jeżycki w Poznaniu,http://www.wikidata.org/entity/Q11727135,Jeżyce,Point(16.8797 52.4164)
http://www.wikidata.org/entity/Q8511948,Cmentarz na Oruni,,,Point(18.633006 54.322356)
http://www.wikidata.org/entity/Q8511956,Cmentarz Niekrasowski,,,Point(21.3983 50.4944)
http://www.wikidata.org/entity/Q8511966,Cmentarz Farny we Wrześni,http://www.wikidata.org/entity/Q52902,Września,Point(17.5653 52.3305)
http://www.wikidata.org/entity/Q8511973,Cmentarz w Biedrusku,,,Point(16.9451 52.5346)
http://www.wikidata.org/entity/Q8511978,Cmentarz wojenny nr 9 - Łysa Góra,http://www.wikidata.org/entity/Q8081081,Łysa Góra,Point(21.5627 49.5736)
http://www.wikidata.org/entity/Q8511981,Cmentarz Bohaterów Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(18.0208 53.1172)
http://www.wikidata.org/entity/Q8511986,Cmentarz ewangelicko-augsburski w Gostyninie,http://www.wikidata.org/entity/Q983735,Gostynin,Point(19.4503 52.4317)
http://www.wikidata.org/entity/Q8511990,Cmentarz wojenny nr 315 - Krzeczów,http://www.wikidata.org/entity/Q6439923,Krzeczów,Point(20.4676 49.9865)
http://www.wikidata.org/entity/Q8511996,Stary Cmentarz w Koszalinie,http://www.wikidata.org/entity/Q62868,Koszalin,Point(16.1889 54.1954)
http://www.wikidata.org/entity/Q8512001,Cmentarz na Krzykach,http://www.wikidata.org/entity/Q1799,Wrocław,Point(16.9994 51.07)
http://www.wikidata.org/entity/Q8512005,Cmentarz w Wilanowie,http://www.wikidata.org/entity/Q270,Warszawa,Point(21.0825 52.1672)
http://www.wikidata.org/entity/Q8512010,Cmentarz Komunalny w Bydgoszczy (ul. Kcyńska),http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(17.9703 53.115)
http://www.wikidata.org/entity/Q8512014,Cmentarz Nowofarny w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(18.0044 53.1403)
http://www.wikidata.org/entity/Q8512018,Cmentarz Komunalny w Bydgoszczy (ul. Ludwikowo),http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(17.9956 53.1392)
http://www.wikidata.org/entity/Q8512022,Cmentarz Komunalny w Bydgoszczy (ul. Wiślana),http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(18.1158 53.1283)
http://www.wikidata.org/entity/Q8512027,Cmentarz katolicki Matki Bożej Nieustającej Pomocy w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(17.9731 53.1114)
http://www.wikidata.org/entity/Q8512031,Cmentarz katolicki Trójcy Świętej w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(17.9656 53.1214)
http://www.wikidata.org/entity/Q8512036,Cmentarz katolicki Najświętszego Serca Jezusa w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(17.9986 53.1408)
http://www.wikidata.org/entity/Q8512040,Cmentarz katolicki św. Wincentego à Paulo w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(18.04 53.1367)
http://www.wikidata.org/entity/Q8512044,Cmentarz katolicki św. Józefa w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(18.0369 53.1161)
http://www.wikidata.org/entity/Q8512048,Cmentarz katolicki św. Stanisława w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(18.0989 53.1283)
http://www.wikidata.org/entity/Q8512052,Cmentarz ewangelicko-augsburski w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(18.005 53.1422)
http://www.wikidata.org/entity/Q8512056,Cmentarz katolicki św. Maksymiliana Kolbe w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(17.8856 53.1653)
http://www.wikidata.org/entity/Q8512060,Cmentarz katolicki św. Mikołaja w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(18.165 53.1533)
http://www.wikidata.org/entity/Q8512063,Cmentarz katolicki św. Jana w Bydgoszczy,http://www.wikidata.org/entity/Q41252,Bydgoszcz,Point(18.1744 53.1525)
http://www.wikidata.org/entity/Q8512068,Cmentarz wojenny nr 368 - Limanowa-Jabłoniec,http://www.wikidata.org/entity/Q324964,Limanowa,Point(20.4359 49.6889)
http://www.wikidata.org/entity/Q8512072,Cmentarz wojenny w Trawnikach,http://www.wikidata.org/entity/Q153096,Trawniki,Point(23.002166666 51.137722222)
http://www.wikidata.org/entity/Q8512075,Cmentarz wojenny nr 369 - Stara Wieś-Golców,http://www.wikidata.org/entity/Q7601426,Stara Wieś,Point(20.4251 49.6671)
